player_name,position,minutes_played,dpr,dpr_breakdown__defensive_impact,dpr_breakdown__build_up_quality,dpr_breakdown__positioning_score,dpr_breakdown__physical_play,status,team,number,key_stats_p90__shots_p90,key_stats_p90__shots_on_target_p90,key_stats_p90__goals_p90,key_stats_p90__passes_p90,key_stats_p90__successful_passes_p90,key_stats_p90__unsuccessful_passes_p90,key_stats_p90__key_passes_p90,key_stats_p90__assists_p90,key_stats_p90__avg_pass_distance_p90,key_stats_p90__progressive_passes_p90,key_stats_p90__duels_p90,key_stats_p90__duels_won_p90,key_stats_p90__tackles_p90,key_stats_p90__successful_tackles_p90,key_stats_p90__tackle_success_rate_pct_p90,key_stats_p90__interceptions_p90,key_stats_p90__clearances_p90,key_stats_p90__recoveries_p90,key_stats_p90__blocked_shots_p90,key_stats_p90__dribbles_p90,key_stats_p90__successful_dribbles_p90,key_stats_p90__dribble_success_rate_pct_p90,key_stats_p90__shot_accuracy_pct_p90,key_stats_p90__goal_conversion_pct_p90,key_stats_p90__passing_accuracy_pct_p90,key_stats_p90__key_pass_rate_pct_p90,key_stats_p90__duel_success_rate_pct_p90,raw_stats__possession__your_possession_time_seconds,raw_stats__possession__possession_pct,raw_stats__distribution__passes,raw_stats__distribution__successful_passes,raw_stats__distribution__unsuccessful_passes,raw_stats__distribution__passing_accuracy_pct,raw_stats__distribution__key_passes,raw_stats__distribution__key_pass_rate_pct,raw_stats__distribution__assists,raw_stats__distribution__avg_pass_distance,raw_stats__distribution__progressive_passes,raw_stats__attack__shots,raw_stats__attack__shots_on_target,raw_stats__attack__goals,raw_stats__attack__shot_accuracy_pct,raw_stats__attack__goal_conversion_pct,raw_stats__dribbles__dribbles,raw_stats__dribbles__successful_dribbles,raw_stats__dribbles__dribble_success_rate_pct,raw_stats__defense__duels,raw_stats__defense__duels_won,raw_stats__defense__duel_success_rate_pct,raw_stats__defense__tackles,raw_stats__defense__successful_tackles,raw_stats__defense__tackle_success_rate_pct,raw_stats__defense__interceptions,raw_stats__defense__clearances,raw_stats__defense__recoveries,raw_stats__defense__blocked_shots,raw_stats__discipline__fouls_conceded,raw_stats__discipline__yellow_cards,raw_stats__discipline__red_cards,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,dpr_breakdown__game_control,dpr_breakdown__transition_play,dpr_breakdown__defensive_contribution,dpr_breakdown__creativity,dpr_breakdown__work_rate,dpr_breakdown__finishing_quality,dpr_breakdown__offensive_contribution,dpr_breakdown__link_up_play,dpr_breakdown__movement_threat,dpr_breakdown__shot_stopping,dpr_breakdown__distribution_quality,dpr_breakdown__command_area,dpr_breakdown__ball_playing,dpr_breakdown__consistency,raw_stats__goalkeeper__shots_faced,raw_stats__goalkeeper__saves,raw_stats__goalkeeper__goals_conceded,raw_stats__goalkeeper__save_pct,raw_stats__goalkeeper__shots_on_target_against,raw_stats__goalkeeper__goals_against,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,match_number,match_id,added_at,position_history,position_changed,shots_raw,shots_on_target_raw,goals_raw,passes_raw,successful_passes_raw,unsuccessful_passes_raw,passing_accuracy_pct_raw,key_passes_raw,assists_raw,avg_pass_distance_raw,progressive_passes_raw,duels_raw,duels_won_raw,tackles_raw,successful_tackles_raw,interceptions_raw,clearances_raw,recoveries_raw,blocked_shots_raw,dribbles_raw,successful_dribbles_raw,dribble_success_rate_pct_raw,note
"Barro, Harvy",ST,872.17,69.61,25.22,45.32,21.79,33.12,substitute,Westwood Athletic,95,0.0,0.0,0.0,0.0,59.9,64.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04,43.29,0.0,0.0,0.0,0.0,0.0,52.94,67.01,37.12,37.89,42.56,45.67,68.17,6180,11.81,459,391,68,85.19,15,3.27,3,19.7,24,4,0,0,0.0,0.0,8,7,87.5,6,1,16.67,12,6,50.0,4,18,8,2,3,1,0,0.413,0.0,0.0,47.365,40.35,7.02,1.548,0.31,2.033,2.477,0.619,0.103,1.238,0.62,5.16,0.413,1.857,0.826,0.206,0.826,0.72,9.03,53.52,44.14,8.79,0.34,1.72,50.32,21.59,31.93,58.99,52.7,33.23,55.36,68.57,20.39,68.35,61.89,40.42,29.33,77.43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,76.59,7,3,3,88.23,11,Match_204,2025-08-26T01:10:02.514070+00:00,[],0,4,0,0,459,391,68,54.51,15,3,1.69,1,6,1,12,6,4,18,8,2,8,7,24.83,
"Perez, Marco",RW,695.62,38.5,75.52,61.29,33.18,39.46,starter,Lakeside Athletic,49,0.0,0.0,0.0,0.0,74.55,50.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.26,34.26,0.0,0.0,0.0,0.0,0.0,46.37,56.48,79.02,48.74,59.93,51.72,68.08,11198,26.83,129,129,0,100.0,1,0.78,0,19.17,3,1,0,0,0.0,0.0,11,11,100.0,8,1,12.5,6,5,83.33,5,7,11,2,1,1,1,0.129,0.0,0.0,16.69,16.69,53.56,0.129,0.0,2.48,0.388,1.035,0.129,0.776,0.65,10.78,0.647,0.906,1.423,0.259,1.423,1.42,12.94,49.72,73.82,12.94,0.1,1.62,66.1,23.36,69.31,68.3,44.07,23.97,74.79,54.03,63.07,32.76,49.95,73.08,58.57,28.57,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,55.99,4,3,4,30.75,3,Match_101,2025-03-01T14:42:35.515069+00:00,[],0,1,0,0,129,129,0,39.96,1,0,4.58,2,8,1,6,5,5,7,11,2,11,11,23.0,
"Pedimonte, Nhiboy",CF,1041.25,68.53,37.91,58.34,56.54,29.17,starter,Brookside United,14,0.0,0.0,0.0,0.0,71.9,30.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.23,37.56,0.0,0.0,0.0,0.0,0.0,45.72,77.31,34.88,41.93,73.12,54.66,67.91,6594,10.55,612,612,0,100.0,15,2.45,2,16.36,17,17,7,1,41.18,5.88,13,4,30.77,7,4,57.14,8,4,50.0,4,24,5,1,2,1,0,1.469,0.605,0.086,52.898,52.9,49.79,1.297,0.173,1.414,1.469,0.605,0.346,0.691,0.35,4.32,0.346,2.074,0.432,0.086,1.124,0.35,2.66,3.56,0.51,8.64,0.21,4.94,65.75,52.36,66.72,51.82,20.03,39.45,21.17,75.75,72.72,69.9,38.45,23.48,72.68,76.82,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,75.96,2,1,1,81.63,18,Match_368,2025-08-31T15:23:28.516079+00:00,[],0,17,7,1,612,612,0,87.22,15,2,0.95,3,7,4,8,4,4,24,5,1,13,4,89.52,
"Fernandez, Marco",CAM,927.99,71.78,54.26,48.36,67.08,68.45,starter,Far Eastern University,93,0.0,0.0,0.0,0.0,66.73,35.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.86,53.49,0.0,0.0,0.0,0.0,0.0,52.77,78.56,70.15,55.04,60.88,33.14,71.59,19470,34.97,1011,790,221,78.14,17,1.68,3,28.0,6,33,23,0,69.7,0.0,37,21,56.76,29,23,79.31,21,17,80.95,4,16,3,0,3,1,0,3.2,2.231,0.0,98.051,76.62,21.43,1.649,0.291,2.716,0.582,2.813,2.231,2.037,1.65,7.85,0.388,1.552,0.291,0.0,3.588,2.04,5.5,6.76,35.14,7.58,0.16,7.69,31.42,25.82,45.86,45.41,48.02,63.74,60.4,79.05,25.91,44.16,40.36,71.7,34.92,31.41,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,51.15,2,5,2,25.17,18,Match_135,2025-09-16T15:08:25.516079+00:00,[],0,33,23,0,1011,790,221,28.28,17,3,1.45,5,29,23,21,17,4,16,3,0,37,21,71.43,
"Mapula, Paul Vincent",GK,898.91,32.87,77.65,24.81,31.15,55.7,starter,Valley Rovers,68,0.0,0.0,0.0,0.0,48.18,63.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.92,46.14,0.0,0.0,0.0,0.0,0.0,30.77,76.9,50.66,57.19,45.79,46.47,42.36,6465,11.99,175,170,5,97.14,3,1.71,0,23.55,10,17,17,2,100.0,11.76,8,8,100.0,33,8,24.24,16,3,18.75,0,1,4,1,2,1,0,1.702,1.702,0.2,17.521,17.02,0.5,0.3,0.0,2.358,1.001,3.304,0.801,1.602,0.3,1.88,0.0,0.1,0.4,0.1,0.801,0.8,10.01,10.01,1.18,9.73,0.17,2.43,60.51,34.11,27.19,73.42,34.77,55.67,57.16,45.15,55.02,51.37,76.08,32.26,62.97,34.32,9,6,3,66.67,9,3,0.601,0.3,0.901,0.901,0.3,6.68,3,2,5,62.05,2,Match_92,2025-04-25T05:44:39.517077+00:00,[],0,17,17,2,175,170,5,25.66,3,0,0.05,2,33,8,16,3,0,1,4,1,8,8,50.13,
"Valdez, Alysa",RWB,1239.61,29.61,45.41,36.6,20.21,66.27,substitute,Hillcrest Athletic,7,0.0,0.0,0.0,0.0,34.97,44.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.96,44.95,0.0,0.0,0.0,0.0,0.0,61.03,52.8,36.19,62.18,67.61,73.11,41.23,7691,10.34,430,430,0,100.0,0,0.0,0,9.46,17,19,1,3,5.26,15.79,5,3,60.0,55,24,43.64,10,4,40.0,8,5,9,3,4,3,0,1.379,0.073,0.218,31.219,31.22,59.48,0.0,0.0,0.687,1.234,3.993,1.742,0.726,0.29,2.9,0.581,0.363,0.653,0.218,0.363,0.22,4.36,0.38,1.15,7.26,34.72,3.17,58.23,35.72,64.47,53.1,45.66,20.58,24.51,72.99,74.24,52.74,70.08,54.95,28.89,27.65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,75.13,3,4,4,29.57,3,Match_386,2025-10-19T05:27:04.517077+00:00,[],0,19,1,3,430,430,0,83.42,0,0,2.73,7,55,24,10,4,8,5,9,3,5,3,70.08,
"Digal, Pius",RWB,1117.1,44.92,36.72,24.17,66.4,41.07,starter,Westwood Athletic,25,0.0,0.0,0.0,0.0,74.84,36.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65,64.47,0.0,0.0,0.0,0.0,0.0,61.37,63.64,59.18,40.21,63.88,63.72,58.44,14599,21.78,0,0,0,69.91,0,0.22,0,15.34,0,23,4,0,17.39,0.0,11,11,100.0,27,4,14.81,31,4,12.9,4,10,16,0,2,1,0,1.853,0.322,0.0,0.0,73.46,71.63,0.0,0.0,1.236,0.0,2.175,0.322,2.498,0.32,1.04,0.322,0.806,1.289,0.0,0.886,0.89,8.06,1.4,49.99,5.22,0.02,1.19,50.56,60.77,70.62,39.87,21.66,72.62,35.67,54.84,79.01,22.3,55.79,40.74,67.19,46.18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44.4,3,4,1,68.48,15,Match_360,2025-06-10T16:03:28.518076+00:00,[],0,23,4,0,0,0,0,56.87,0,0,3.94,7,27,4,31,4,4,10,16,0,11,11,51.06,
"Aningalan, Jul",RWB,1185.82,55.33,39.33,46.51,60.54,50.67,starter,Riverside FC,75,0.0,0.0,0.0,0.0,41.21,38.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.59,37.04,0.0,0.0,0.0,0.0,0.0,59.95,31.88,38.05,62.74,31.23,56.76,36.16,12526,17.61,1246,949,297,76.16,9,0.72,2,22.68,26,8,5,3,62.5,37.5,3,1,33.33,56,31,55.36,8,1,12.5,6,22,3,1,1,2,0,0.607,0.379,0.228,94.567,72.03,22.54,0.683,0.152,1.721,1.973,4.25,2.353,0.607,0.08,0.95,0.455,1.67,0.228,0.076,0.228,0.08,2.53,4.74,2.85,5.78,0.05,4.2,67.62,77.59,64.16,59.53,37.03,59.83,57.16,25.6,77.12,34.09,38.63,68.39,28.84,22.77,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,60.32,4,3,2,78.67,20,Match_119,2025-08-08T00:04:59.518076+00:00,[],0,8,5,3,1246,949,297,37.81,9,2,0.64,1,56,31,8,1,6,22,3,1,3,1,66.41,
"Barro, Kirvy",CAM,761.21,62.59,70.39,36.64,66.66,49.08,substitute,Lakeside Athletic,34,0.0,0.0,0.0,0.0,63.86,44.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.39,68.08,0.0,0.0,0.0,0.0,0.0,38.37,31.56,58.87,32.03,58.02,50.05,65.25,10291,22.53,506,506,0,100.0,2,0.4,0,28.6,32,19,3,2,15.79,10.53,13,9,69.23,20,6,30.0,0,0,73.62,3,5,6,0,0,2,0,2.246,0.355,0.236,59.826,59.83,36.75,0.236,0.0,3.381,3.783,2.365,0.709,0.0,43.32,8.7,0.355,0.591,0.709,0.0,1.537,1.06,8.19,1.87,1.24,11.82,0.05,3.55,34.35,46.39,62.81,34.07,40.15,73.58,24.83,29.05,42.98,29.17,32.84,44.89,39.85,47.96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.78,6,2,5,50.75,10,Match_15,2025-09-15T10:17:03.519077+00:00,[],0,19,3,2,506,506,0,36.08,2,0,4.83,0,20,6,0,0,3,5,6,0,13,9,65.21,
"Fernandez, Laurence",LW,862.66,34.09,35.61,39.64,47.28,40.25,starter,Hillcrest Athletic,60,0.0,0.0,0.0,0.0,31.12,37.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.96,34.6,0.0,0.0,0.0,0.0,0.0,52.49,51.81,30.33,66.89,37.42,65.19,63.64,15153,29.28,334,197,137,58.98,4,1.2,0,16.31,26,45,12,2,26.67,4.44,31,17,54.84,11,8,72.73,21,14,66.67,2,17,6,1,2,0,0,4.695,1.252,0.209,34.846,20.55,14.29,0.417,0.0,1.702,2.713,1.148,0.835,2.191,1.46,6.96,0.209,1.774,0.626,0.104,3.234,1.77,5.72,2.78,0.46,6.15,0.13,7.59,72.78,36.7,77.07,45.29,70.09,48.22,64.94,23.13,77.12,33.45,24.12,77.44,22.42,21.86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,55.22,4,6,3,88.18,15,Match_156,2025-08-21T02:47:25.519077+00:00,[],0,45,12,2,334,197,137,58.87,4,0,1.26,4,11,8,21,14,2,17,6,1,31,17,38.5,
